restaurant_id,restaurant_name,num_collection,num_review,num_category_restaurant,num_revisit,influential_review_score,score
vuoBiPLOprcoMXLV1wcwqw,아치서울(arch__seoul),32,1016,347,240,9,2732
dDpupMA39tzwreqRc47l2w,스시야,58,570,501,257,85,2731
ZJniIEd5DkAHPR74Fgu9Pg,스시누하,66,1419,501,93,3,2718
aqy8WrS3jpPsFikiFMjbGA,금토일샴페인빠 압구정점,32,1311,597,122,28,2706
nDLoh51piILLu_1Isj0Xhg,미호 오마카세스시,74,1093,501,136,20,2664
7hf2Khk13AuzRZxHEZCB-w,파틱(patic),70,1614,141,111,0,2660
aS9DDVGmCNfmfhf4k-Wb9w,스시소라 청담점,182,812,501,85,12,2660
yk-pihqoopXkNukHgo-nEg,스시라온,97,827,501,155,59,2647
DpOz8tqyapEFqUFNcPZKHA,스시츠바사,67,1338,501,82,63,2647
LMRiSIrwxJhEl2XH1slhBQ,몽고네,166,673,486,124,34,2643
bioM2vvFIn-lzrE7pIfMNQ,스시다다,20,1193,501,166,14,2638
zBNxUOJODRyv-IYjBbMEcA,스시노아야,81,879,501,147,112,2632
AJzAGI8MwEsDLA7qT4V3xg,주옥,223,833,286,62,72,2616
IZ39EWSZKqDh20br0TYokw,본앤브레드 신관,85,1441,142,113,6,2579
Tqnd56CcXkgBNVjc9Y5yQQ,금토일샴페인빠 을지로점,26,1414,597,84,7,2568
pXFreL9FsN5ULG0k6DrKUA,스시타다시,23,739,501,228,65,2560
4d-hs1VaXgnGTTeu03lHBg,굿또스시,24,1244,501,120,85,2550
nciQyB8uWySJQjpZYiP4ug,스시코야,47,928,501,150,111,2525
LYRkyCeQ8hNHCVrRb5frEQ,스시다원,79,1248,501,58,86,2520
yp4HucQxXiY5nwp2Mlthaw,스시 호월,15,1126,501,161,3,2510
TYgqa5HLRHz5pqQfqwNb5Q,스시고본 SUSHIKOVON,29,1108,501,127,119,2508
zCqFbGYU-N2pyuAiTdw3ag,스시대옥,12,1033,501,180,7,2501
5e_e1OgXkcFciteKy42zlw,괴르츠,69,1482,486,36,3,2496
nG5BPkxJFPeC08E9txdk3w,TocToc,220,923,44,50,168,2485
SNOQJ5PLTN83dEduN23FGw,더나인클럽,56,758,501,157,150,2474
qVJYzwJdeHj9QW9ePi8ntA,무오키,250,904,44,29,123,2466
aN95vOi87dloQFw8ltwKWQ,베이스이즈나이스,35,924,20,254,56,2445
wSRYFC_gRCgMoiqydJvk_Q,스시카나에,59,963,501,119,52,2406
VwcrFXJ_IEacrE7Yvvi5YA,기승전우,27,988,406,165,52,2406
v7-RU_vXJHnj47C6QB_tSA,테라스룸 서울,68,1555,129,71,22,2401
77FODm-30SOS8IsPYPeeYQ,리파인 신사역 가로수길점,49,1153,286,141,0,2389
Vezv1gW0Kb_2lm-w2rYukA,스시미우라,15,654,501,177,239,2354
UNFLXpQaFLqDRubNZu4lbQ,Nice Time2,61,1330,125,101,81,2346
N7UqlljnYe2Zrte3zHahnQ,그래비티 서울 판교 앤디쉬,11,1490,78,136,39,2342
Vht1yjNGMTsvLmizdYdfEQ,스시하쿠초,47,605,501,175,125,2341
T4cQvdDcikNAhCm6B9aUKQ,스시코호시 동탄점,8,1259,501,106,9,2339
0etWyM4NU5OUX9MSfkVCFQ,스시소기,59,1027,501,99,16,2334
EM-B4XOgZBKO1IMC3KAGew,야키토리묵 신사점,59,1232,51,138,65,2333
MmsKKu1aECCbOoJ6rlEAIQ,이도청담,49,1046,486,106,24,2331
CqbxGepC8Yr8JCBuYj55xQ,스시미소 국회의사당점,49,1260,501,60,13,2319
nbEeCp-T9KdFLPT-fp5gGw,보타르가,36,1160,125,162,40,2315
lfOTnBP63n4t1wte1T-7jA,스시아라타,69,842,501,116,44,2312
